session,group,ppt,selection,selected,continuation,continue,L1_bsl,self_rating,bsl_years,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp
4,second,S49,selected,1,continuing,1,0,3,8,0.78,0.75,0.76,6,48,8,5,na,na,na,na,na,na,9,0.81,6.21,0.88,3005,0.66,2671,55,13,17,25,na,na,na,na,11,tbc,missing,67,na,na
4,second,S42,selected,1,continuing,1,0,3,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,second,S18,selected,1,continuing,1,0,3,2,0.71,0.71,0.71,8,88,11,6.5,na,na,na,na,na,na,7,0.75,4.09,0.84,2463,0.7,2233,67,22,23,22,na,na,na,na,13,tbc,68.3,77.4,na,na
4,second,S92,selected,1,withdrew,0,0,3,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,second,S79,selected,1,withdrew,0,0,3,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,first,S99,rejected,0,na,0,0,na,na,0.7,0.75,0.72,6,48,8,5,35,31,0.89,46,44,0.94,na,na,na,0.95,2297,na,na,na,na,na,na,na,na,na,69.5,na,na,na,na,na,na
1,first,S56,rejected,0,na,0,0,na,na,0.73,0.71,0.72,6,54,9,5.5,42,32,0.76,44,42,0.93,na,na,na,0.91,2769,na,na,na,na,na,na,na,na,na,61.5,na,na,na,na,na,na
1,first,S28,rejected,0,na,0,0,na,na,0.75,0.76,0.75,6,60,10,6,29,25,0.86,46,43,0.91,na,na,na,0.92,3397,na,na,na,na,na,na,na,na,na,87,na,na,na,na,na,na
1,first,S66,rejected,0,na,0,0,na,na,0.78,0.7,0.74,8,88,11,6.5,32,24,0.75,38,34,0.83,na,na,na,0.88,3202,na,na,na,na,na,na,na,na,na,79,na,na,na,na,na,na
1,first,S72,rejected,0,na,0,0,na,na,0.62,0.48,0.55,5,35,7,4.5,33,29,0.88,42,40,0.93,na,na,na,0.97,3944,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S64,rejected,0,na,0,0,na,na,0.65,0.67,0.66,6,54,9,5.5,31,24,0.77,42,39,0.89,na,na,na,0.88,2279,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S54,rejected,0,na,0,0,na,na,0.71,0.6,0.66,5,40,8,5,25,19,0.76,34,33,0.95,na,na,na,0.92,6665,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S15,rejected,0,na,0,0,na,na,0.73,0.73,0.73,8,80,10,6,42,37,0.88,45,41,0.87,na,na,na,0.41,2505,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S95,rejected,0,na,0,0,na,na,0.7,0.73,0.71,6,54,9,5.5,38,31,0.82,46,45,0.97,na,na,na,0.95,3943,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S20,rejected,0,na,0,0,na,na,0.71,0.71,0.71,5,35,7,4.5,32,26,0.81,26,22,0.67,na,na,na,0.77,8240,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S24,rejected,0,na,0,0,na,na,0.76,0.75,0.75,6,48,8,5,31,19,0.61,43,40,0.9,na,na,na,0.79,3412,na,na,na,na,na,na,na,na,na,72,na,na,na,na,na,na
1,first,S81,rejected,0,na,0,0,na,na,0.76,0.76,0.76,8,72,9,5.5,42,36,0.86,46,46,1,na,na,na,0.94,2147,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S29,rejected,0,na,0,0,na,na,0.73,0.62,0.67,5,35,7,4.5,27,21,0.78,22,17,0.38,na,na,na,0.52,3045,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S50,rejected,0,na,0,0,na,na,0.7,0.75,0.72,6,60,10,6,42,32,0.76,45,38,0.77,na,na,na,0.85,3771,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S91,rejected,0,na,0,0,na,na,0.76,0.75,0.75,6,54,9,5.5,32,24,0.75,43,41,0.93,na,na,na,0.95,3698,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S94,rejected,0,na,0,0,na,na,0.76,0.76,0.76,6,48,8,5,19,14,0.74,42,38,0.86,na,na,na,0.59,2754,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S62,rejected,0,na,0,0,na,na,0.65,0.67,0.66,6,54,9,5.5,42,29,0.69,43,40,0.9,na,na,na,0.92,4636,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S46,rejected,0,na,0,0,na,na,0.71,0.71,0.71,5,35,7,4.5,38,29,0.76,43,37,0.79,na,na,na,0.87,3934,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S76,rejected,0,na,0,0,na,na,0.65,0.73,0.69,5,40,8,5,38,33,0.87,39,35,0.84,na,na,na,0.8,4802,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
