session,group,ppt,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,copy_score,srt_score,town_map,bsl_grade
3,pilot,HW015,0.746,0.7143,0.7302,6,48,8,5,42,33,0.7857,42,36,0.8571,7,0.8333,4.25,0.8593,1991,0.75,2713,73,19,26,28,,TBC,TBC,SW
3,pilot,HW028,0.7302,0.746,0.7381,8,80,10,6,42,36,0.8571,46,45,0.9783,10,0.875,5.92,0.9063,1793,0.8438,2201,73,21,29,23,,TBC,TBC,SW
3,grant,HW1011,0.7143,0.7619,0.7381,6,48,8,5,42,36,0.8571,44,41,0.9318,8,0.7143,4.93,0.8594,1610,0.958,2009,89,30,33,26,,TBC,TBC,SW
3,grant,HW1041,0.7619,0.7619,0.7619,6,54,9,5.5,41,32,0.7805,44,38,0.8636,8,0.6429,4.86,0.7188,2098,0.875,2009,48,10,17,21,,TBC,TBC,SW
3,grant,HW1061,0.7143,0.7143,0.7143,6,60,10,6,42,38,0.9048,45,42,0.9333,8,0.7143,4.8,0.8984,2716,0.7395,3030,62,17,22,23,,TBC,TBC,SW
3,grant,HW1081,0.7619,0.788,0.775,5,35,7,4.5,42,31,0.7381,46,41,0.8913,6,0.7,3.65,0.8906,2317,0.875,2810,66,24,21,21,,TBC,TBC,SW
3,grant,HW1091,0.788,0.727,0.7575,8,80,10,6,23,14,0.6087,43,37,0.8605,5,0.625,2.2,0.5379,1086,0.479,1379,83,23,30,30,,TBC,TBC,SW
3,grant,HW1111,0.703,0.743,0.723,6,48,8,5,39,32,0.8649,41,40,0.9756,8,0.7857,6.22,0.836,4419,0.594,3189,69,16,20,33,,TBC,TBC,SW
3,grant,HW1121,0.7619,0.7937,0.7778,6,48,8,5,37,36,0.973,41,40,0.9756,8,0.6429,4.56,0.8828,3263,0.708,2252,68,21,17,30,,TBC,TBC,SW
3,grant,WV2011,0.746,0.6825,0.7143,8,88,11,6.5,42,37,0.881,46,45,0.9783,8,0.7857,4.66,0.9297,2017,0.927,2345,47,14,19,14,,TBC,TBC,CS
3,grant,WV2061,0.7778,0.7619,0.7698,6,48,8,5,34,31,0.9118,35,34,0.9714,9,0.8125,5.95,0.7109,2794,0.552,2823,60,16,21,23,,TBC,TBC,CS
3,grant,WV2081,,,,,,,,42,33,0.7857,44,37,0.8409,,,,,,0.7395,2348,65,22,20,23,,TBC,TBC,CS
3,grant,HW1051,,,,,,,,,,,,,,,,,,,0.833,2306,65,13,26,26,,TBC,TBC,SW
3,grant,WV2031 ,,,,,,,,,,,,,,,,,,,,,,,,,,TBC,TBC,CS
