session,group,ppt,status,continue,L1_bsl,prior_BSL,age_s1,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp,comments
3,pilot,HW013,continuing,1,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,60,unable to retest here due to Covid
3,pilot,HW015,withdrew,0,0,0,32,0.75,0.71,0.73,6,48,8,5,42,33,0.79,42,36,0.86,7,0.83,4.25,0.86,1991,0.75,2713,73,19,26,28,NA,NA,NA,NA,19,tbc,NA,NA,72,72,
3,pilot,HW020,withdrew,0,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,50,unable to retest here due to Covid
3,pilot,HW025,continuing,1,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,64,unable to retest here due to Covid
3,pilot,HW026,withdrew,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,53,unable to retest here due to Covid
3,pilot,HW028,withdrew,0,0,0,17,0.73,0.75,0.74,8,80,10,6,42,36,0.86,46,45,0.98,10,0.88,5.92,0.91,1793,0.84,2201,73,21,29,23,NA,NA,NA,NA,13,tbc,NA,NA,60,51,
3,grant,HW1011,continuing,1,check,check,19,0.71,0.76,0.74,6,48,8,5,42,36,0.86,44,41,0.93,8,0.71,4.93,0.86,1610,0.96,2009,89,30,33,26,NA,NA,NA,NA,21,tbc,NA,NA,75,72,
3,grant,HW1021,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,46,no interest in taking part again
3,grant,HW1031,continuing,1,check,check,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,67,no interest in taking part again
3,grant,HW1041,continuing,1,check,check,18,0.76,0.76,0.76,6,54,9,5.5,41,32,0.78,44,38,0.86,8,0.64,4.86,0.72,2098,0.88,2009,48,10,17,21,NA,NA,NA,NA,24,tbc,NA,NA,71,68,
3,grant,HW1051,continuing,1,check,check,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,2306,65,13,26,26,NA,NA,NA,NA,tbc,tbc,NA,NA,67,68,did online tasks but PEBL issues
3,grant,HW1061,continuing,1,check,check,32,0.71,0.71,0.71,6,60,10,6,42,38,0.9,45,42,0.93,8,0.71,4.8,0.9,2716,0.74,3030,62,17,22,23,NA,NA,NA,NA,tbc,tbc,NA,NA,68,58,
3,grant,HW1071,continuing,1,check,check,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,44,no interest in taking part again
3,grant,HW1081,continuing,1,check,check,18,0.76,0.79,0.77,5,35,7,4.5,42,31,0.74,46,41,0.89,6,0.7,3.65,0.89,2317,0.88,2810,66,24,21,21,NA,NA,NA,NA,tbc,tbc,NA,NA,56,54,
3,grant,HW1091,continuing,1,check,check,18,0.79,0.73,0.76,8,80,10,6,23,14,0.61,43,37,0.86,5,0.63,2.2,0.54,1086,0.48,1379,83,23,30,30,NA,NA,NA,NA,tbc,tbc,NA,NA,58,50,
3,grant,HW1101,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,66,no interest in taking part again
3,grant,HW1111,continuing,1,check,check,18,0.7,0.74,0.72,6,48,8,5,39,32,0.86,41,40,0.98,8,0.79,6.22,0.84,4419,0.59,3189,69,16,20,33,NA,NA,NA,NA,tbc,tbc,NA,NA,54,51,
3,grant,HW1121,continuing,1,check,check,20,0.76,0.79,0.78,6,48,8,5,37,36,0.97,41,40,0.98,8,0.64,4.56,0.88,3263,0.71,2252,68,21,17,30,NA,NA,NA,NA,tbc,tbc,NA,NA,68,70,
3,grant,WV2011,continuing,1,check,check,21,0.75,0.68,0.71,8,88,11,6.5,42,37,0.88,46,45,0.98,8,0.79,4.66,0.93,2017,0.93,2345,47,14,19,14,NA,NA,NA,NA,tbc,tbc,NA,NA,NA,NA,
3,grant,WV2021,withdrew,0,check,check,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no interest in taking part again
3,grant,WV2031,continuing,1,check,check,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,tbc,NA,NA,NA,NA,did GoReact tasks only (tablet)
3,grant,WV2041,withdrew,0,1,,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no interest in taking part again
3,grant,WV2051,continuing,1,check,check,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,72,no interest in taking part again
3,grant,WV2061,continuing,1,check,check,40,0.78,0.76,0.77,6,48,8,5,34,31,0.91,35,34,0.97,9,0.81,5.95,0.71,2794,0.55,2823,60,16,21,23,NA,NA,NA,NA,tbc,tbc,NA,NA,50,51,
3,grant,WV2071,continuing,1,check,check,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,63,no interest in taking part again
3,grant,WV2081,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,42,33,0.79,44,37,0.84,NA,NA,NA,NA,NA,0.74,2348,65,22,20,23,NA,NA,NA,NA,tbc,tbc,NA,NA,70,67,did all tasks but 4 PEBL ones
3,grant,WV2091,withdrew,0,check,check,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,no interest in taking part again
3,grant,WV2111,withdrew,0,check,check,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,tbc,NA,NA,NA,NA,no interest in taking part again
4,pilot,HW001,continuing,1,0,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW005,withdrew,0,0,0,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW006,withdrew,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW007,withdrew,0,0,0,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW008,withdrew,0,0,0,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW013,continuing,1,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW015,withdrew,0,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW020,withdrew,0,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW025,continuing,1,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW026,withdrew,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,pilot,HW028,withdrew,0,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,HW1011,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,HW1021,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,HW1031,continuing,1,check,check,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,HW1041,continuing,1,check,check,18,0.71,0.78,0.75,6,60,10,6,NA,NA,NA,NA,NA,NA,7,0.83,3.82,0.75,1919,0.78,1792,46,10,17,19,NA,NA,NA,NA,14,tbc,63.3,54.1,,,
4,grant,HW1051,continuing,1,check,check,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,HW1061,continuing,1,check,check,32,0.73,0.762,0.75,6,54,9,5.5,NA,NA,NA,NA,NA,NA,8,0.79,4.84,0.84,2185,0.8,2455,58,18,21,19,NA,NA,NA,NA,14,tbc,66.6,65.7,,,
4,grant,HW1071,continuing,1,check,check,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,HW1081,continuing,1,check,check,18,0.67,0.7,0.68,5,35,7,4.5,NA,NA,NA,NA,NA,NA,6,0.7,3.66,0.88,2156,0.89,2243,63,19,23,21,NA,NA,NA,NA,7,tbc,65.2,49.8,,,
4,grant,HW1091,continuing,1,check,check,18,0.73,0.7,0.71,6,60,10,6,NA,NA,NA,NA,NA,NA,6,0.8,na,0.7,1790,0.42,2211,72,21,27,24,NA,NA,NA,NA,12,tbc,63.8,61.8,,,
4,grant,HW1101,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,HW1111,continuing,1,check,check,18,0.7,0.66,0.68,6,60,10,6,NA,NA,NA,NA,NA,NA,6,0.8,3.84,0.84,3234,0.79,2910,65,16,18,31,NA,NA,NA,NA,11,tbc,58.6,44.5,,,
4,grant,HW1121,continuing,1,check,check,20,0.73,0.68,0.71,6,54,9,5.5,NA,NA,NA,NA,NA,NA,8,0.79,4.18,0.92,2367,0.8,2202,71,23,22,26,NA,NA,NA,NA,15,tbc,61.2,57.7,,,
4,grant,WV2011,continuing,1,check,check,21,0.71,0.73,0.72,6,60,10,6,NA,NA,NA,NA,NA,NA,8,0.86,4.48,0.9,1636,0.96,2338,44,11,17,16,NA,NA,NA,NA,20,tbc,72.6,83,,,
4,grant,WV2021,withdrew,0,check,check,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,WV2031,continuing,1,check,check,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,WV2041,withdrew,0,1,,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,WV2051,continuing,1,check,check,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,WV2061,continuing,1,check,check,40,0.78,0.75,0.76,6,48,8,5,NA,NA,NA,NA,NA,NA,9,0.81,6.21,0.88,3005,0.66,2671,55,13,17,25,NA,NA,NA,NA,11,tbc,redo??,67,,,
4,grant,WV2071,continuing,1,check,check,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,WV2081,continuing,1,check,check,19,0.71,0.71,0.71,8,88,11,6.5,NA,NA,NA,NA,NA,NA,7,0.75,4.09,0.84,2463,0.7,2233,67,22,23,22,NA,NA,NA,NA,13,tbc,68.3,77.4,,,
4,grant,WV2091,withdrew,0,check,check,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,grant,WV2111,withdrew,0,check,check,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
