session,group,ppt,status,continue,L1_bsl,prior_BSL,age_s1,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp,comments
1,pilot,HW005,withdrew,0,0,0,?,0.75,0.73,0.74,8,88,11,6.5,39,38,0.97,45,42,0.9,NA,NA,NA,0.91,2580,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW006,withdrew,0,0,0,18,0.67,0.75,0.71,6,54,9,5.5,33,30,0.91,40,40,1,NA,NA,NA,0.93,3752,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW007,withdrew,0,0,0,?,0.73,0.71,0.72,6,60,10,6,40,30,0.75,43,39,0.86,NA,NA,NA,0.93,2965,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW008,withdrew,0,0,0,?,0.75,0.73,0.74,8,80,10,6,38,33,0.87,45,45,1,NA,NA,NA,0.95,2507,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW013,continuing,1,0,1,17,0.68,0.71,0.7,6,60,10,6,42,31,0.74,46,39,0.78,NA,NA,NA,0.88,3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW015,withdrew,0,0,0,32,0.73,0.7,0.71,6,48,8,5,42,31,0.74,41,40,0.96,NA,NA,NA,0.91,2376,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW020,withdrew,0,0,1,17,0.62,0.71,0.67,8,72,9,5.5,42,30,0.71,45,39,0.81,NA,NA,NA,0.91,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW025,continuing,1,1,1,18,0.76,0.76,0.76,6,54,9,5.5,31,27,0.87,37,37,1,NA,NA,NA,0.98,8256,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW026,withdrew,0,0,0,18,0.65,0.6,0.63,5,40,8,5,42,28,0.67,45,40,0.84,NA,NA,NA,0.94,2430,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,pilot,HW028,withdrew,0,0,0,17,0.73,0.79,0.76,9,126,14,8,38,31,0.82,42,41,0.96,NA,NA,NA,0.95,3696,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1011,continuing,1,check,check,19,0.67,0.67,0.67,6,54,9,5.5,36,31,0.86,42,40,0.95,8,0.86,4.78,NA,NA,0.92,2417,NA,NA,NA,NA,35,0.78,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1021,continuing,1,check,check,19,0.65,0.7,0.67,5,40,8,5,30,25,0.83,36,34,0.94,8,0.71,5.34,NA,NA,0.59,4285,NA,NA,NA,NA,17,0.38,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1031,continuing,1,check,check,49,0.7,0.71,0.71,8,80,10,6,42,39,0.93,41,39,0.95,10,0.88,5.88,NA,NA,0.58,4085,NA,NA,NA,NA,40,0.89,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1041,continuing,1,check,check,18,0.71,0.76,0.74,6,54,9,5.5,37,28,0.76,43,36,0.84,6,0.7,3.99,NA,NA,0.86,3253,NA,NA,NA,NA,23,0.51,tbc,tbc,NA,NA,NA,NA,NA,NA,
